Model,Accuracy,Precision,Recall,F1,ROC_AUC
rf,0.9915402567094516,0.9924451618004709,0.9915402567094516,0.9917603188422984,0.9988640870189979
brf,0.9915402567094516,0.9924451618004709,0.9915402567094516,0.9917603188422984,0.9989733599244639
et,0.9842473745624271,0.9853152128463027,0.9842473745624271,0.9846214334262737,0.9979190385281728
gb,0.9915402567094516,0.9920736006091556,0.9915402567094516,0.9916866558660697,0.9977729700316461
xgb,0.9889148191365228,0.9899664224271146,0.9889148191365228,0.989202231769947,0.9983859050949119
ada,0.9714119019836639,0.9801957207514383,0.9714119019836639,0.9738038638167812,0.9907777365545339
lr,0.9638273045507585,0.9759931514031718,0.9638273045507585,0.9672755734007312,0.9930336261498657
ridge,0.8302217036172695,0.9035097841934813,0.8302217036172695,0.8597107932007643,
svc,0.9623687281213535,0.9737851565694036,0.9623687281213535,0.9656570920694089,0.994299041219152
knn,0.882438739789965,0.9319648715022316,0.882438739789965,0.9018924213036624,0.8879441864951483
gnb,0.17852975495915985,0.9350089383337324,0.17852975495915985,0.20837542786747196,0.7929436559094705
Stacking,0.9883313885647608,0.9881957159720207,0.9883313885647608,0.9882188095669413,0.9986136966470299
